OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
816;United Kingdom;N2;;;Planned;2020;25449,63934;561,369003; ;1,711145151;0,087301678
817;United Kingdom;Dogger Bank East Met Mast;1;;Dismantled;;210099,2264;0,195958914; ;0,019698754;2,75744E-05
818;United Kingdom;Dogger Bank West Met Mast;1;;Dismantled;;148406,4501;0,196102658; ;0,019627022;2,74367E-05
819;United Kingdom;East Anglia Southern Met Mast (1B);1;;Production;;56406,61939;0,195833173; ;0,018802699;2,57494E-05
820;Netherlands;Hollandse Kust (Noord);126;700;Approved;;18656,29801;290,261775; ;0,81253133;0,038559063
821;United Kingdom;N4;;;Planned;2020;2316,105257;200,1566567; ;0,882955285;0,030735176
822;United Kingdom;NE8;;;Planned;2020;74888,6927;338,5141128; ;0,973249855;0,051992503
823;United Kingdom;N3;;;Planned;2020;9457,333545;1106,354044; ;1,591722267;0,172263657
824;United Kingdom;N1;;;Planned;2020;3171,94357;1162,4273; ;1,817623334;0,181168869
825;United Kingdom;E3;;;Planned;2020;18800,84994;474,3421025; ;1,288568613;0,070086317
826;United Kingdom;E2;;;Planned;2020;59706,16582;1291,429348; ;2,84204521;0,192594162
827;United Kingdom;E1;;;Planned;2020;56455,63533;3743,866036; ;3,671120674;0,549038426
828;United Kingdom;Hornsea Project 2 (HOW02) Wind Farm;165;1386;Production;2022;89487,56761;462,1743944; ;1,7491203;0,063192257
829;United Kingdom;Robin Rigg East;30;84;Production;2010;8599,403372;9,858860918; ;0,17443831;0,001375732
830;United Kingdom;Robin Rigg West;30;90;Production;2010;8598,744072;8,475553408; ;0,158276675;0,001182332
831;United Kingdom;Inch Cape Offshore Wind Farm;110;784;Approved;;15147,34923;149,3278773; ;0,739036165;0,021772633
832;United Kingdom;Moray East Met Mast;;;Production;;26595,3636;0,031396395; ;0,008356256;4,7913E-06
833;United Kingdom;Methil Demo;1;7;Production;2013;43,24441345;0,023763185; ;0,00835391;3,436E-06
834;United Kingdom;Inch Cape Met Mast;1;;Approved;;22570,41121;0,7004693; ;0,038869255;0,000101988
835;United Kingdom;Forthwind Methil Demonstration;2;12;Approved;;1135,506438;0,377376753; ;0,052654484;5,45488E-05
836;United Kingdom;Beatrice Offshore Wind Farm;84;588;Production;2019;13391,57938;131,467189; ;0,654697579;0,020103013
837;United Kingdom;Beatrice OFTO;;;Production;;17623,17522;0,062792151; ;0,016736647;9,60163E-06
838;United Kingdom;Aberdeen Offshore W/F;11;97;Production;2018;1340,288887;20,01430062; ;0,249356786;0,002975306
839;United Kingdom;Buchan Deep Demo;;30;Production;;22388,56738;15,39768847; ;0,208187412;0,002305295
840;United Kingdom;Pentland Floating Offshore Wind Farm;;100;Planned;;7664,58739;10,00746352; ;0,158027054;0,001547737
841;United Kingdom;Robin Rigg OFTO;;;Production;;11704,87129;0,085867275; ;0,018747711;1,19776E-05
842;United Kingdom;Inch Cape OFTO;;;Approved;;25,23290947;105,2205699; ;2,972066754;0,015254147
843;United Kingdom;Berwick Bank;;2300;Planned;;43344,99268;654,862696; ;1,424257231;0,094975421
844;United Kingdom;Kincardine;6;50;Production;2021;14143,52439;25,37893888; ;0,260269871;0,003750704
845;United Kingdom;Moray East OFTO;;;Construction;;88,12962566;20,51149722; ;1,633205752;0,003107417
846;United Kingdom;Moray Offshore Windfarm (East);85;953;Production;;22264,18871;293,0937669; ;1,456378325;0,04473257
847;United Kingdom;Marr Bank Wind Farm;;1800;Planned;;30902,3576;786,3375507; ;1,524123294;0,114222102
848;United Kingdom;Neart Na Gaoithe Offshore Wind;54;432;Construction;;15363,83114;102,6280645; ;0,718182021;0,014872928
849;United Kingdom;Neart na Gaoithe OFTO;;;Construction;;20179,41715;0,035306393; ;0,0120763;5,11634E-06
850;United Kingdom;Seagreen Phase 1 OFTO;;;Construction;;41169,57232;0,785331701; ;0,040511559;0,000114776
851;United Kingdom;Seagreen Phase 1A OFTO;;500;Approved;;33,47316654;120,4709403; ;3,452365166;0,017533142
852;United Kingdom;Seagreen Phase 1 Windfarm;75;1140;Construction;;26763,01902;331,6690927; ;1,692394672;0,048509635
853;United Kingdom;Seagreen 1A Offshore Wind Farm;114;360;Approved;;32431,59226;58,64461956; ;0,463971567;0,008565016
854;United Kingdom;Berwick Bank OFTO;;;Planned;;0;806,907052; ;3,530368566;0,11688525
855;United Kingdom;Bowdun Offshore Wind Farm;;1008;Planned;;38410,92088;187,0845836; ;0,891787478;0,027625745
856;United Kingdom;Scoprojco1 TBC;;2610;Planned;;79494,06993;858,4571913; ;2,022451171;0,125805704
857;United Kingdom;Buchan Offshore Wind Farm;;960;Planned;;74920,31745;330,6956393; ;0,95833232;0,050810197
858;United Kingdom;Stromar;;1000;Planned;;36900,43884;256,3016268; ;0,861862763;0,039473526
859;United Kingdom;Broadshore;;500;Planned;;47477,53696;134,0560641; ;0,618858374;0,020447472
860;United Kingdom;Bellrock;;1200;Planned;;115492,8711;279,8031741; ;1,170430247;0,041105488
861;United Kingdom;Marram;;3000;Planned;;75714,70441;683,9885102; ;1,375839975;0,104323326
862;United Kingdom;MachairWind;;2000;Planned;;0;753,7458074; ;1,331892968;0,108540492
863;United Kingdom;Campion;;2000;Planned;;93215,22944;859,872942; ;1,774414209;0,128105494
864;United Kingdom;Ayre Offshore Wind Farm;;1008;Planned;;17230,85052;199,7368767; ;1,383145751;0,031073324
865;United Kingdom;Spiorad na Mara;;840;Planned;;3564,138714;161,4163975; ;0,832381653;0,024771895
866;United Kingdom;Magnora TBC;;495;Planned;;25206,43218;103,0936001; ;0,554988174;0,016007226
867;United Kingdom;Mara Mhor Offshore Wind Farm;;798;Planned;;62863,16277;199,8755539; ;0,750676691;0,029861689
868;United Kingdom;Havbredey;;1500;Planned;;26071,16531;389,6074545; ;1,407979383;0,060663484
869;United Kingdom;West of Orkney Wind Farm;;2000;Planned;;4746,595291;656,5789518; ;1,570481375;0,102300202
870;United Kingdom;Caledonia Offshore Wind Farm;;1000;Planned;;23311,17488;428,9512687; ;1,201315178;0,06548829
871;United Kingdom;Shetland Offshore Wind;;500;Planned;;32313,22679;99,99763731; ;0,542831128;0,016320265
872;United Kingdom;Shetland NE1 Ocean Winds;;500;Planned;;22486,0884;100,2573503; ;0,593952316;0,016217702
873;United Kingdom;Arven Offshore Wind Farm;;1800;Planned;;24101,6612;359,8859271; ;1,076449235;0,058397889
874;United Kingdom;Moray West OFTO;;;Approved;;25994,09709;0,003909627; ;0,004166041;5,95044E-07
875;United Kingdom;Moray West;60;882;Construction;;22186,64743;225,1620541; ;0,939658669;0,034283697
876;United Kingdom;Morven;;2907;Planned;;61156,69797;858,8334554; ;1,792705334;0,125759795
877;United Kingdom;Walney 2;51;184;Production;2012;17774,48916;45,88103461; ;0,333628731;0,00629669
878;United Kingdom;Walney 1;51;184;Production;2011;14160,94713;27,16035734; ;0,278587565;0,00372376
879;United Kingdom;West of Duddon Sands;108;388,8;Production;2014;13988,57405;66,88171396; ;0,411103248;0,00915896
880;United Kingdom;Barrow;30;90;Production;2006;7261,238716;9,990274057; ;0,16341456;0,001368458
881;United Kingdom;Ormonde;30;150;Production;2012;9148,983197;9,931850268; ;0,164164509;0,001363583
882;United Kingdom;Rhyl Flats;25;90;Production;2009;7767,8335;9,734691944; ;0,194365752;0,001314623
883;United Kingdom;Gwynt y Mor;160;576;Production;2015;12389,26977;68,03172392; ;0,587518351;0,009202059
884;United Kingdom;Burbo Bank Extension;32;256;Production;2017;6874,85929;39,66650429; ;0,425338466;0,00536771
885;United Kingdom;Burbo Bank;25;90;Production;2007;6074,823081;9,946996495; ;0,171776338;0,001346419
886;United Kingdom;Gunfleet Sands I;30;108;Production;2010;6296,740808;9,995124907; ;0,174832641;0,001300264
887;United Kingdom;Gunfleet Sands II;18;65;Production;2010;8298,475544;5,813121413; ;0,210601632;0,000756782
888;United Kingdom;Gunfleet Sands Demo;2;12;Production;2013;8297,731671;2,548661352; ;0,079412643;0,000331362
889;United Kingdom;Kentish Flats;30;90;Production;2005;8371,66997;9,952279555; ;0,175896575;0,001287081
890;United Kingdom;Kentish Flats Extension;15;49,5;Production;2015;7542,703377;8,281010134; ;0,239856348;0,001070978
891;United Kingdom;London Array;175;630;Production;2013;20451,27691;122,4787615; ;0,49351946;0,015896431
892;United Kingdom;Thanet;100;300;Production;2010;10851,36499;34,96376468; ;0,288737163;0,004518953
893;United Kingdom;Greater Gabbard;140;504;Production;2012;24843,21183;146,2310086; ;0,74394445;0,019088603
894;United Kingdom;Scroby Sands;30;60;Production;2004;1857,623781;8,906036779; ;0,137572354;0,001182395
895;United Kingdom;Sheringham Shoal;88;316,8;Production;2012;16753,78977;34,98514086; ;0,342227056;0,004697131
896;United Kingdom;Lincs;75;270;Production;2013;6335,021118;38,31066121; ;0,383804855;0,005150155
897;United Kingdom;Dudgeon;67;402;Production;2017;32058,46828;55,16120805; ;0,383729582;0,007428612
898;United Kingdom;Race Bank;45;283,5;Production;2018;26592,70638;62,38046637; ;0,456460358;0,008402339
899;United Kingdom;Humber Gateway;73;219;Production;2015;8025,892311;26,53403157; ;0,260721432;0,003605233
900;United Kingdom;Westermost Rough;35;210;Production;2015;8021,924591;34,92538989; ;0,293937907;0,004763037
901;United Kingdom;Lynn;27;97,2;Production;2008;5305,396765;7,883168721; ;0,145618468;0,001058427
902;United Kingdom;Inner Dowsing;27;97,2;Production;2008;5056,702987;8,807301247; ;0,149660156;0,001183949
903;United Kingdom;Teesside;27;62,1;Production;2013;979,6890302;4,322632312; ;0,130484015;0,000601502
904;United Kingdom;Blyth;2;4;Dismantled;2000;489,9037504;0,40240507;2013;0,030845415;5,66761E-05
905;United Kingdom;Galloper;56;353;Production;2018;28256,01724;113,6536382; ;0,819425495;0,014838051
906;United Kingdom;Hornsea Project Four (HOW04);180;1000;Planned;;65413,65766;846,4307583; ;1,93513844;0,115965321
907;United Kingdom;Hornsea Project Three (HOW03);231;2400;Approved;;121136,5221;696,3702283; ;1,501503311;0,095174233
908;United Kingdom;East Anglia Two;75;900;Approved;;29719,37411;255,5553974; ;0,815928384;0,033512724
909;United Kingdom;East Anglia One North;67;800;Approved;;36100,72387;208,1139757; ;0,736200539;0,027462877
910;United Kingdom;East Anglia Three;95;1330;Construction;;67758,58886;305,4738799; ;0,911320954;0,040629356
911;United Kingdom;Rampion;116;400,2;Production;2018;13311,17331;77,86709126; ;0,453074759;0,009899933
912;United Kingdom;Walney Extension 3;40;330;Production;2018;26722,35186;49,18058878; ;0,397277256;0,00675845
913;United Kingdom;Walney Extension 4;47;329;Production;;19810,47205;100,0655822; ;0,683834693;0,013748616
914;United Kingdom;Blyth Demonstration Phases 2&3;10;58,4;Approved;;5415,667203;15,16589693; ;0,313631441;0,002138584
915;United Kingdom;Dogger Bank C;100;1200;Construction;;195786,1194;560,5565085; ;1,313385854;0,078707875
916;United Kingdom;Sofia;100;1400;Construction;;164933,3442;593,6505072; ;1,248527404;0,083326236
917;United Kingdom;Dogger Bank A;100;1200;Construction;;130997,9011;515,5550632; ;1,340457515;0,071921815
918;United Kingdom;Dogger Bank B;100;1200;Construction;;130974,643;599,2832111; ;1,189022457;0,084106075
919;United Kingdom;Hornsea 1 (East);58;406;Production;;111016,4645;129,3111381; ;0,70863543;0,017659316
920;United Kingdom;Hornsea 1 (West);58;406;Production;;102222,2661;119,0923233; ;0,642439526;0,016274607
921;United Kingdom;Hornsea 1 (Centre);58;406;Production;;105688,2867;158,7973114; ;0,785709635;0,021699314
922;United Kingdom;East Anglia One;102;714;Production;2020;50593,60322;150,1313726; ;0,565147245;0,019750481
923;United Kingdom;Triton Knoll;30;285;Production;2022;32338,25709;149,5083499; ;0,700165029;0,020228998
924;United Kingdom;Blyth Demo Phase 1;5;41,5;Production;2017;5280,018891;3,636674853; ;0,113676661;0,000512137
925;United Kingdom;Hornsea Project 2 - Phase 2 (Soundmark);;;Production;;91854,07281;133,2734081; ;0,601541005;0,01823978
926;United Kingdom;Hornsea Project 2 - Phase 3 (Sonningmay);;;Production;;89487,56675;138,3769064; ;0,628229809;0,018910336
927;United Kingdom;North Hoyle;30;60;Production;2003;7241,337323;9,642919961; ;0,163782508;0,001303149
928;United Kingdom;Dudgeon Extension;34;402;Planned;;26912,03922;103,5374283; ;0,978659375;0,013945519
929;United Kingdom;Awel y Mor;42;576;Planned;;10632,73932;106,4594546; ;0,824398886;0,014369285
930;United Kingdom;Erebus Floating Wind Demo;7;100;Planned;;30230,62355;43,5653551; ;0,302815098;0,00563346
931;United Kingdom;Five Estuaries;79;353;Planned;;37460,63128;148,6513726; ;0,989240802;0,019415029
932;United Kingdom;Sheringham Shoal Extension;27;317;Planned;;15937,1449;92,64903321; ;0,620582961;0,012432031
933;United Kingdom;North Falls;72;504;Planned;;22379,5174;150,059611; ;1,20343399;0,019531609
934;United Kingdom;Rampion 2 (Rampion Extension);116;400;Planned;;13295,65265;149,3510881; ;0,729349959;0,018978399
935;United Kingdom;Rampion 2 (Zone 6);;;Planned;;13443,56382;164,6339309; ;0,767133163;0,020926289
936;United Kingdom;R4 Project 1 (Dogger Bank South West);;1500;Planned;;99535,12028;495,1684287; ;1,223747608;0,068882815
937;United Kingdom;R4 Project 2 (Dogger Bank South East);;1500;Planned;;122243,6059;493,9084118; ;1,160717174;0,068483778
938;United Kingdom;R4 Project 3 (Outer Dowsing);;1500;Planned;;53289,45358;499,8601049; ;1,239830554;0,067789388
939;United Kingdom;R4 Project 4 (Mona);;1500;Planned;;28332,5384;497,8297713; ;1,249795969;0,06775474
940;United Kingdom;R4 Project 5 (Morecambe);;480;Planned;;28661,29921;125,7341306; ;0,602218831;0,017146066
941;United Kingdom;R4 Project 6 (Morgan);;1500;Planned;;22273,88331;322,431306; ;0,982458981;0,044176722
942;United Kingdom;Wave Hub;;20;Planned;;15166,74677;7,961054381; ;0,128784202;0,001005847
943;United Kingdom;Norfolk Vanguard East;145;1800;Approved;;69902,56358;578,198113; ;1,6077079;0,077172177
944;United Kingdom;Norfolk Boreas;158;1800;Planned;;73178,96864;452,0318977; ;1,218368258;0,060645455
945;United Kingdom;Norfolk Vanguard West;;;Approved;;47493,02145;295,1590999; ;0,824137176;0,039413459
946;United Kingdom;Hornsea Project 2 - Phase 1 (Breesea);300;1386;Production;;104314,0606;162,8209128; ;1,167302053;0,022287866
947;Finland; ;;;Planned;;71326,98434;528,2211434; ;1,140665397;0,089260736
948;Finland; ;;;Planned;;6332,813153;381,5630933; ;1,248418739;0,073520545
949;Finland; ;;;Planned;;17381,28448;122,4073976; ;0,672907005;0,019446755
950;Finland; ;;;Planned;;41757,94182;114,7653107; ;0,548269784;0,01809706
